id,Temparature,TDS Voltage,Uncompensated TDS Value,Compensated TDS Value
563523,25.81,0.090073,37.62,83.28
608952,28.06,0.116821,48.44,45.73
564557,25.38,0.089724,37.48,83.45
513837,25.94,0.042136,17.84,63.76
514504,25.94,0.04458,18.86,64.76
541706,26.19,0.14698,60.46,114.11
513849,28.69,0.60116,225.97,236.62
542301,27.44,0.330161,129.99,374.36
563574,26,0.08728,36.49,100.79
539328,25.44,0.069797,29.32,75.31
513858,27.94,0.215703,87.19,132.59
563601,26.06,2.695805,1532.91,123.11
542827,0,2.906272,1802.92,-11.96
541046,27.5,0.315444,124.59,369.05
514523,27.88,0.209607,84.85,130.47
541721,26.19,0.152754,62.74,116.34
541723,27.38,0.37928,147.83,391.62
513881,26.12,0.004109,1.76,47.96
540314,25.06,0.069314,29.12,75.33
585682,27.44,0.728992,270.37,258.58
525451,26.94,0.143408,59.04,218.92
513894,28.69,0.604544,227.15,237.72
541077,25.31,0.069556,29.22,75.28
526334,26.25,0.063997,26.93,72.52
541078,27.81,0.927991,340.97,348.13
513903,28,0.21377,86.45,131.8
539504,25.81,0.069448,29.18,74.96
630456,25.62,0.051616,21.8,86.53
609065,25.5,0.108979,45.29,84.85
515106,26.94,0.202624,82.17,129.25
525576,0,0,0,168.24
513927,26.56,0,0,46.24
563733,27.94,0.986858,362.59,342.46
585775,24.44,0.092678,38.68,85.35
563752,25.69,0.09002,37.6,83.35
630484,25.38,0.122192,50.59,90.23
567231,26.12,0.5652,213.48,347.47
513941,28.62,0.603738,226.87,237.68
566086,26.19,0.564824,213.34,568.78
516023,28.31,0.855132,314.76,320.94
586737,25.38,0.091416,38.17,102.89
515602,26.25,0.060317,25.41,71.04
542841,0,2.903183,1798.68,-11.88
528786,25.5,0.060237,25.37,71.37
585795,23.12,0.088489,36.98,103.38
514576,28.56,0.703962,261.66,270.4
539603,25.5,0.068831,28.92,74.88
541767,25.44,0.070281,29.52,75.51
513952,27.5,0.21001,85.01,131.16
565427,26.12,0.568879,214.76,570.4
514582,26.06,0,0,46.24
541772,28,1.065437,392.21,394.39
542343,25.31,0.068723,28.88,74.94
541137,27.44,0.309751,122.5,367.18
540438,25.19,0.068293,28.7,74.84
515136,28.38,0.989006,363.38,365.41
525653,25.56,0.063621,26.77,72.72
513977,25.56,0,0,46.24
514602,28,0.209929,84.97,130.4
631559,26.19,0.124985,51.71,90.55
516034,26.88,0.198167,80.45,127.68
542357,28,1.108352,408.82,409.64
542854,27.38,0.348047,136.52,380.76
563804,25.81,0.085803,35.88,100.32
513992,28.75,0.605886,227.62,237.92
527777,0,0.782622,289.13,150.82
631566,26,2.399107,1213.33,1528.62
542857,0,2.898726,1792.52,118.23
526471,28.25,0.140696,57.97,216.56
